Final SCORE : 16
         99824893 function calls (98455940 primitive calls) in 137.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2301    0.002    0.000    0.016    0.000 _methods.py:31(_sum)
     2476    0.002    0.000    0.008    0.000 genericpath.py:46(isdir)
  445/130    0.002    0.000    0.034    0.000 sre_parse.py:317(_parse_sub)
  510/376    0.002    0.000    0.005    0.000 transforms.py:137(_invalidate_internal)
       36    0.002    0.000    0.002    0.000 {method 'set_text' of 'FT2Font' objects}
      253    0.002    0.000    0.020    0.000 main.py:157(chooseRand)
       16    0.002    0.000    0.009    0.001 Tetris.py:131(draw)
        1    0.002    0.002  137.242  137.242 main.py:2(<module>)
        1    0.002    0.002    0.002    0.002 Tkinter.py:31(<module>)
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
      164    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
        2    0.002    0.001    0.002    0.001 {posix.fork}
        1    0.001    0.001    0.006    0.006 urllib.py:23(<module>)
       36    0.001    0.000    0.004    0.000 Tkinter.py:1234(_substitute)
     2167    0.001    0.000    0.008    0.000 genericpath.py:34(isfile)
      164    0.001    0.000    0.001    0.000 {method 'read' of 'file' objects}
        1    0.001    0.001    0.002    0.002 __init__.py:88(<module>)
      741    0.001    0.000    0.001    0.000 weakref.py:267(__init__)
        1    0.001    0.001    0.013    0.013 artist.py:1(<module>)
      258    0.001    0.000    0.002    0.000 artist.py:79(__init__)
       98    0.001    0.000    0.002    0.000 {_io.open}
      292    0.001    0.000    0.003    0.000 __init__.py:743(add)
        1    0.001    0.001    0.001    0.001 {gc.collect}
     2737    0.001    0.000    0.001    0.000 {method 'split' of 'unicode' objects}
     1166    0.001    0.000    0.018    0.000 __init__.py:2652(_get_metadata)
       11    0.001    0.000    0.003    0.000 artist.py:901(get_aliases)
      396    0.001    0.000    0.001    0.000 Tkinter.py:1240(getint_event)
      259    0.001    0.000    0.002    0.000 twodim_base.py:192(eye)
        1    0.001    0.001    0.010    0.010 contour.py:4(<module>)
      536    0.001    0.000    0.003    0.000 version.py:246(__str__)
      552    0.001    0.000    0.003    0.000 weakref.py:176(itervalues)
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
      142    0.001    0.000    0.003    0.000 font_manager.py:477(afmFontProperty)
      259    0.001    0.000    0.003    0.000 numeric.py:2185(identity)
        1    0.001    0.001    0.684    0.684 textpath.py:3(<module>)
        1    0.001    0.001    0.026    0.026 _subplots.py:1(<module>)
       31    0.001    0.000    0.001    0.000 {dir}
     1037    0.001    0.000    0.004    0.000 __init__.py:2304(yield_lines)
     1205    0.001    0.000    0.006    0.000 transforms.py:1553(__init__)
      542    0.001    0.000    0.017    0.000 __init__.py:1359(safe_version)
        1    0.001    0.001    0.697    0.697 backend_bases.py:28(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
        1    0.001    0.001    0.727    0.727 colorbar.py:20(<module>)
       49    0.001    0.000    0.002    0.000 linalg.py:458(inv)
     2024    0.001    0.000    0.001    0.000 version.py:217(<genexpr>)
        1    0.001    0.001    0.703    0.703 collections.py:10(<module>)
       25    0.001    0.000    0.011    0.000 lines.py:658(draw)
1229/1220    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 mathtext.py:19(<module>)
     2685    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x8fc7a0}
       24    0.001    0.000    0.009    0.000 text.py:287(_get_layout)
        1    0.001    0.001    0.106    0.106 pkgdata.py:18(<module>)
     3860    0.001    0.000    0.002    0.000 sre_parse.py:206(match)
      164    0.001    0.000    0.003    0.000 __init__.py:1725(_get)
     1623    0.001    0.000    0.001    0.000 UserDict.py:4(__init__)
        1    0.001    0.001    0.004    0.004 ticker.py:143(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.001    0.001    0.768    0.768 pyplot.py:17(<module>)
      432    0.001    0.000    0.001    0.000 posixpath.py:82(split)
      967    0.001    0.000    0.001    0.000 genericpath.py:93(_splitext)
     2908    0.001    0.000    0.001    0.000 {method 'join' of 'unicode' objects}
      506    0.001    0.000    0.001    0.000 {method 'randint' of 'mtrand.RandomState' objects}
      449    0.001    0.000    0.004    0.000 transforms.py:161(set_children)
      744    0.001    0.000    0.001    0.000 cbook.py:681(is_string_like)
      292    0.001    0.000    0.011    0.000 __init__.py:2495(__init__)
       24    0.001    0.000    0.001    0.000 {built-in method draw_markers}
        1    0.001    0.001    0.001    0.001 __init__.py:5(<module>)
      272    0.001    0.000    0.013    0.000 markers.py:229(set_marker)
      491    0.001    0.000    0.006    0.000 transforms.py:1699(__init__)
      741    0.001    0.000    0.003    0.000 weakref.py:98(__setitem__)
      150    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
        2    0.001    0.000    0.002    0.001 six.py:1(<module>)
        1    0.001    0.001    0.680    0.680 {cPickle.load}
      417    0.001    0.000    0.005    0.000 sre_compile.py:228(_compile_charset)
        1    0.001    0.001    0.800    0.800 Net.py:1(<module>)
      524    0.001    0.000    0.002    0.000 inspect.py:744(getargs)
     6137    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
        2    0.001    0.000    0.026    0.013 font_manager.py:261(get_fontconfig_fonts)
       65    0.001    0.000    0.003    0.000 lines.py:566(recache)
      832    0.001    0.000    0.001    0.000 __init__.py:2566(key)
        1    0.001    0.001    0.028    0.028 __init__.py:106(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:41(<module>)
      130    0.001    0.000    0.005    0.000 sre_compile.py:433(_compile_info)
     2161    0.001    0.000    0.001    0.000 stat.py:49(S_ISREG)
       44    0.001    0.000    0.008    0.000 patches.py:609(_update_patch_transform)
   302/14    0.001    0.000    0.003    0.000 pyparsing.py:957(_parseNoCache)
     2476    0.001    0.000    0.001    0.000 stat.py:40(S_ISDIR)
     4343    0.001    0.000    0.001    0.000 {method 'endswith' of 'unicode' objects}
    10605    0.001    0.000    0.001    0.000 posixpath.py:44(normcase)
        1    0.001    0.001    0.002    0.002 table.py:21(<module>)
       13    0.001    0.000    0.001    0.000 {divmod}
     4993    0.001    0.000    0.001    0.000 {method 'find' of 'unicode' objects}
        2    0.001    0.000    0.001    0.000 {function seed at 0x7fcdf9f36d70}
      262    0.001    0.000    0.004    0.000 transforms.py:2175(__init__)
       98    0.001    0.000    0.005    0.000 __init__.py:2005(get_metadata)
      524    0.001    0.000    0.003    0.000 inspect.py:804(getargspec)
        1    0.001    0.001    0.008    0.008 pyparsing.py:58(<module>)
        1    0.001    0.001    0.029    0.029 figure.py:12(<module>)
      409    0.001    0.000    0.003    0.000 artist.py:929(get_valid_values)
        1    0.001    0.001    0.001    0.001 __init__.py:4(<module>)
    40/32    0.001    0.000    0.041    0.001 axis.py:67(__init__)
        1    0.001    0.001    0.002    0.002 Image.py:27(<module>)
     2822    0.001    0.000    0.002    0.000 utf_8.py:15(decode)
      945    0.001    0.000    0.001    0.000 __init__.py:2693(__getattr__)
        1    0.001    0.001    0.001    0.001 legend.py:23(<module>)
      135    0.001    0.000    0.001    0.000 __init__.py:2738(insert_on)
        2    0.001    0.000    0.004    0.002 __init__.py:45(<module>)
        1    0.001    0.001    0.002    0.002 _base.py:1(<module>)
     4735    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.001    0.001    0.001    0.001 transforms.py:30(<module>)
       38    0.001    0.000    0.001    0.000 function_base.py:3888(insert)
      639    0.001    0.000    0.001    0.000 cbook.py:672(iterable)
     4772    0.001    0.000    0.001    0.000 stat.py:24(S_IFMT)
       12    0.001    0.000    0.001    0.000 {built-in method draw_text_image}
       98    0.001    0.000    0.001    0.000 {method 'splitlines' of 'unicode' objects}
      231    0.001    0.000    0.001    0.000 colors.py:334(to_rgba)
      142    0.001    0.000    0.216    0.002 afm.py:292(_parse_optional)
      130    0.001    0.000    0.057    0.000 sre_compile.py:567(compile)
        1    0.001    0.001    0.003    0.003 dates.py:111(<module>)
       98    0.001    0.000    0.001    0.000 docstring.py:44(__call__)
     2302    0.001    0.000    0.001    0.000 sre_parse.py:137(__len__)
     2995    0.001    0.000    0.001    0.000 {method 'lower' of 'unicode' objects}
     4858    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      256    0.001    0.000    0.026    0.000 __init__.py:2479(_version_from_file)
      485    0.001    0.000    0.001    0.000 sre_compile.py:428(_simple)
